Rudolph Hartmann,89,62,94,67,90,67,78,78,84,98,61,77,67,97,56,85,94,89
Katlynn Ritchie,81,99,77,86,67,93,56,56,98,84,86,62,96,91,93,98,67,76
Sister Lemke,60,79,81,66,76,94,73,76,64,75,76,99,62,81,69,95,85,75
Elmo Kovacek,66,56,60,56,66,56,89,76,70,71,63,89,81,61,99,67,67,97
Kamryn Farrell,68,66,66,85,75,87,79,58,75,72,87,96,55,91,62,87,85,77
Kenna Walker,76,65,80,83,97,75,92,75,63,63,77,100,83,81,94,68,74,69
Oral Hartmann,72,77,79,77,91,78,76,100,73,79,69,98,75,81,64,84,100,89
Ilene Harris,86,93,78,89,97,95,89,94,88,64,65,58,61,100,62,74,96,92
Naomi Christiansen,67,100,78,78,93,73,69,78,80,65,67,77,93,61,76,95,68,97
Eugene Bruen,99,61,80,68,88,88,62,94,72,72,68,71,82,60,58,57,79,91
Kip Kohler,56,73,72,65,85,75,61,80,89,81,91,67,84,100,95,58,86,99
Margie Dickens,70,89,62,65,55,65,94,81,63,93,61,94,86,82,84,68,85,99
Margaret D'Amore,94,93,61,66,77,60,64,86,64,90,81,77,80,88,73,72,79,77
Rick Botsford,66,60,90,100,58,71,72,76,93,56,78,87,86,69,74,90,61,86
Jayne Hyatt,90,56,69,94,80,86,83,71,79,56,89,78,77,87,98,73,94,80
Estrella Conn,67,57,74,90,62,85,73,95,77,77,75,79,82,91,61,99,96,65
Aimee Rath,77,61,90,98,70,89,77,89,72,75,82,94,68,61,55,65,94,89
Mckayla Schowalter,59,87,73,84,88,74,89,92,90,70,72,79,59,65,63,69,64,60
Ignatius Rolfson,92,71,85,66,69,66,71,63,63,64,68,73,74,60,78,99,72,94
Arne Krajcik,87,100,66,97,82,86,76,85,95,98,95,55,83,57,83,58,96,57
Gino Yost,91,96,70,60,69,77,74,68,93,73,62,81,80,91,61,86,65,88
Chelsie Murray,88,74,93,66,63,67,90,61,59,88,76,57,88,60,94,68,74,76
Tom Bahringer,62,65,68,79,73,96,62,64,79,65,97,72,76,85,59,70,64,74
Lesly Gorczany,88,76,60,59,91,99,83,70,60,68,63,69,100,86,93,82,96,56
Yesenia Cormier,72,96,75,58,95,77,90,69,95,68,90,94,96,88,71,61,65,67
Kyra Funk,74,60,72,91,59,94,88,73,92,70,76,89,60,66,96,89,100,87
Donna Renner,76,75,98,61,63,56,62,63,90,63,60,94,64,100,83,97,88,84
Lambert Reichel,84,97,75,80,74,55,96,56,78,100,89,79,91,88,94,84,66,82
Santina Morissette,71,66,79,90,75,64,71,97,62,87,72,70,73,95,56,71,74,80
Mekhi Stark,63,74,87,80,69,94,65,73,73,92,64,61,75,76,82,70,65,69
Ike Skiles,85,85,74,74,58,60,97,76,73,70,89,67,74,98,83,59,96,97
Martine Heathcote,73,64,77,61,69,94,100,77,90,56,97,73,61,89,62,98,87,82
Whitney Abbott,69,83,99,59,87,60,90,78,77,59,99,79,64,67,57,55,65,65
Melba Nicolas,98,65,97,87,63,73,91,70,91,62,95,88,95,68,91,80,77,75
Ethel Ernser,58,87,77,72,68,76,100,65,76,91,55,68,77,96,85,55,68,77
Eduardo Schmitt,82,64,98,75,63,60,71,100,70,93,77,76,61,63,65,70,81,63
Kylie Considine,56,55,58,78,86,86,74,88,61,74,82,79,60,66,60,57,78,91
Melany Kling,83,58,88,100,61,84,75,69,57,68,70,67,65,92,74,99,63,82
Mikayla Schamberger,93,60,64,55,73,58,65,85,72,55,55,86,98,85,77,76,68,67
Glennie Hettinger,55,86,87,73,57,81,57,75,99,100,100,80,92,68,68,72,81,85
Deron Leannon,55,99,74,84,97,72,57,61,97,64,98,80,88,63,94,72,77,62
Godfrey O'Keefe,98,99,83,85,99,96,58,69,86,60,81,67,87,64,67,56,77,56
Joseph Yundt,69,71,97,94,68,77,75,80,72,89,64,80,96,64,61,65,91,62
Octavia Runolfsson,76,93,56,70,62,89,56,100,87,97,56,71,84,85,65,64,88,67
Lisa Williamson,59,58,98,68,80,78,95,95,100,92,90,78,61,62,91,74,64,96
Olga Howell,92,81,92,93,68,72,63,95,80,88,83,77,90,77,91,68,89,97
Dewayne Schamberger,87,71,75,58,81,92,70,82,71,67,60,68,60,89,68,63,99,57
Raven Okuneva,77,99,67,65,91,81,72,71,57,95,79,98,76,74,96,69,61,93
Randall Wintheiser,75,62,98,98,89,56,66,92,79,85,78,85,71,80,56,96,78,92
Gerry Mohr,74,63,66,74,88,74,73,96,83,60,68,65,77,65,82,73,99,98
Cole Watsica,95,64,96,100,58,57,98,67,60,56,65,73,70,62,81,63,64,65
Makenna Hessel,66,93,59,59,94,69,59,77,58,81,83,81,71,60,90,76,63,70
Kim King,88,98,90,75,82,96,72,78,74,84,92,66,79,78,75,91,96,89
Maryjane Rempel,73,93,68,73,89,69,95,85,96,78,80,88,74,87,57,94,64,72
Moriah Lebsack,91,93,60,96,60,82,95,83,68,58,83,99,64,63,74,58,87,77
Amara Wuckert,77,75,93,72,75,88,100,73,87,95,55,59,74,72,98,84,91,80
Hans Kerluke,77,97,78,76,74,93,89,85,75,90,98,72,70,88,83,67,64,81
Vladimir Waters,92,86,95,75,77,90,71,100,75,65,97,65,73,99,64,83,99,98
Elyse Shields,89,92,55,62,60,74,94,84,100,96,70,57,87,63,73,92,76,83
