Kaylie Quigley,77,90,73,73,75,83,55,82,79,72,56,57,70,96,97,72,78,85,55,93,65,60,68
Mariam D'Amore,65,58,63,99,59,59,62,58,56,100,90,60,76,55,57,68,77,83,74,77,55,78,67
Kendrick Kirlin,67,64,72,56,71,66,76,68,79,70,81,67,97,57,71,75,59,82,56,77,61,56,91
Aron Blanda,97,100,72,88,62,64,74,81,56,62,76,55,56,89,68,58,72,85,56,61,61,79,70
Travon Feest,69,88,98,88,59,97,67,80,96,93,75,69,72,100,65,73,94,87,58,60,67,100,64
Abner Rowe,76,99,62,68,69,89,85,100,89,96,88,90,89,96,100,86,62,58,98,77,62,94,78
Elmore Cartwright,73,92,87,63,59,72,73,55,100,69,56,86,69,91,89,97,79,91,78,56,74,91,62
Joelle Lang,56,60,94,74,78,66,82,59,77,57,93,70,97,57,91,84,93,86,85,56,72,80,94
Elva Rippin,79,75,86,66,76,58,85,73,71,60,90,58,81,72,88,89,76,83,77,68,67,70,57
Carmelo Lind,65,58,100,100,57,67,82,69,57,60,98,65,79,81,55,70,80,55,95,97,65,56,100
Clement Roob,64,88,58,70,78,65,100,78,76,67,98,85,97,69,64,85,69,61,90,71,83,61,99
Maggie Zemlak,97,81,98,87,88,99,94,76,99,72,71,67,72,82,67,75,81,82,73,60,55,63,72
Aletha Adams,78,69,90,77,73,56,82,76,55,78,82,64,78,83,100,76,82,75,88,95,62,65,82
Melyna Kulas,93,66,86,95,73,74,66,83,100,86,74,90,82,76,80,97,86,82,74,61,72,81,76
Joany Cartwright,89,98,94,70,94,80,56,63,80,74,88,86,71,59,88,84,100,88,84,73,89,91,63
Elijah Gutmann,96,77,99,79,66,99,61,66,80,55,61,58,70,81,62,66,99,82,84,62,98,74,59
Citlalli Klein,91,59,94,64,88,100,74,62,57,80,85,64,74,79,55,77,94,61,62,90,63,61,60
Annabel Ward,64,85,58,97,89,68,71,60,69,73,92,92,96,65,80,61,93,71,86,65,92,74,72
Sydni Kessler,56,60,57,87,89,60,89,66,88,90,89,56,85,92,60,72,74,70,83,86,99,74,80
Salma Heaney,87,79,91,72,92,64,84,58,64,70,69,85,58,96,61,77,96,100,99,61,60,74,76
Ludwig McKenzie,82,68,95,97,94,98,59,100,91,93,97,91,64,91,65,93,58,62,56,61,82,92,96
Maverick Jenkins,83,88,74,55,100,86,55,85,55,92,67,79,82,89,74,61,90,90,65,67,86,65,92
Gudrun Metz,99,71,95,57,92,67,96,95,69,73,94,60,73,92,80,85,81,79,59,81,62,89,82
Jaylin Schamberger,57,78,97,70,97,55,99,59,100,70,83,56,63,100,82,65,87,98,82,63,84,72,100
Pierre Marks,71,67,87,87,88,63,82,85,69,69,96,91,76,69,65,82,70,95,69,99,99,76,69
Valerie Schroeder,70,85,63,100,56,57,79,95,70,73,77,85,100,78,74,67,76,71,56,74,56,73,63
Trycia Pfannerstill,75,66,87,92,99,86,74,87,60,63,71,96,68,98,55,90,55,87,83,90,88,88,66
Irma Hackett,59,92,66,81,83,90,82,86,92,76,89,64,82,58,71,63,92,77,62,63,75,70,95
Lyla Miller,81,85,78,62,80,59,70,95,90,66,80,60,78,83,91,92,74,56,82,81,89,60,86
Alan Hermiston,63,60,100,95,94,67,87,57,76,99,79,97,63,74,96,68,82,89,79,95,67,67,99
Samara Price,100,65,94,84,98,84,65,63,57,56,86,58,96,95,98,89,82,86,80,97,89,91,97
Toby Kovacek,88,65,56,88,89,83,96,83,69,94,68,92,60,92,57,79,56,99,66,56,73,90,86
Angeline Goldner,86,62,63,76,88,61,81,75,92,98,63,85,89,96,64,71,97,74,93,63,93,72,91
Kenny Bruen,65,67,88,67,74,56,87,97,74,80,83,64,66,66,92,97,70,87,60,94,90,64,100
